id,Q,A
863,그거 지금 들으면  노래 슬프다?,맞아 그 노래 근데 왜 슬퍼?
864,아 그건 디지몬인가 안녕 디지몬... 네 꿈을 꾸면서 잠이 들래.. 막 이랬던 거 같은데,슬픈가... 아 그때는 어렸는데 생각하니까 슬프긴 하다
866,아 그건 디지몬인가 안녕 디지몬... 네 꿈을 꾸면서 잠이 들래.. 막 이랬던 거 같은데,근데 지금 생각하니까 카드 캡처 체리 주제곡이 슬프네~
900,관광지랑 연결되어 있는 도로에 들어서면 거의 주차장이에요...,헐 그 정도는 운전대 잡기 힘들잖아요.
908,창 밖 보면서 좀 멀리 돌아가도 좋은 거 같아요.,버스 타면 직장까지는 거리가 멀어서 힘들겠어요
928,아 블랙박스 녹취된 거 듣는데 진짜. 아...,저는 듣지는 못했는데 그냥 상상만 해도 너무 마음 아프더라고요.
961,애쓴 보람 느껴지는 포장이 짱이죠 키키,육아에 힘들어 하는 친구들은 있어요.
967,눈만 깜빡여도 예쁘고  키키,결혼 생활도 힘들다 하는 애들이 많더라고요.
968,아무래도 결혼생활에 대한 환상? 그런 게 있는 친구들이 좀 더 많이 힘들어 하더라고요.,오 그 말이 딱 맞는 거 같아요. 결혼하면 뭐가 딱 끝나는 게 아닌데...
1003,아~그 기구로 하는 거! 무진장 어려워 보여요.,좀 정적이라서 힘들긴 할 것 같아요.
1025,사진기도 종류 별로 가지고 가기 키키,해외로는 아직 가기는 힘들겠죠
1026,아마 백신 접종 확인증 생겨도 자가 격리 없이 해외 가기는 힘들 거예요.,아 그렇구나 ㅠㅠ
1027,아마 백신 접종 확인증 생겨도 자가 격리 없이 해외 가기는 힘들 거예요.,저도 아직 해외는 엄두가 안 나긴 해요.
1028,아마 백신 접종 확인증 생겨도 자가 격리 없이 해외 가기는 힘들 거예요.,국내에 아직 가보고 싶은 곳이 너무 많아요.
1082,연장하는 거면 붙이는 건데 아프지 않으려나요.,아프지는 않아요 키키
1083,연장하는 거면 붙이는 건데 아프지 않으려나요.,근데 그게 떨어질 때쯤 엄청 간지러워요 저는.
1084,연장하는 거면 붙이는 건데 아프지 않으려나요.,그래서 막 비비면 막 떨어지더라고요 키키
1160,우리 본가가 주택인데 관리하기 너무 힘들더라,아 맞아.
1161,우리 본가가 주택인데 관리하기 너무 힘들더라,주택 살려면 부지런해야 한다던데...키키
1162,우리 본가가 주택인데 관리하기 너무 힘들더라,조용한 아파트가 좋은 선택일 수 있겠다 키키
1163,우리 본가가 주택인데 관리하기 너무 힘들더라,어렸을 때 계속 주택 살았었어?
1199,너는?,아 그거는 나도 아직 힘들다 키키
1231,우리나라 교육 문제 빨리 해결책이 나와야 할 텐데,맞아 근데 당분간은 아마 사교육이 줄어들기는 힘들지 않을까 싶네
1254,나도 이제 결혼한 친구들 많아서 결혼식 자주 가는데 요즘 코로나 때문에 결혼식도 힘들다고 하더라고,맞아 요즘 결혼식은 진짜 예전에는 상상할 수 없던 풍경이야
1255,나도 이제 결혼한 친구들 많아서 결혼식 자주 가는데 요즘 코로나 때문에 결혼식도 힘들다고 하더라고,마스크 쓰고 사진 찍고 연회장도 그렇고
1268,응 최근에 본 건 고속도로 졸음 쉼터에 버리고 가서 강아지가 주인 차랑 비슷한 차만 보면 달려가는 내용이었는데 너무 슬프더라,ㅠㅠ 주인은 그거 보면  어떤 생각할지 진짜 ㅠㅠ
1269,응 최근에 본 건 고속도로 졸음 쉼터에 버리고 가서 강아지가 주인 차랑 비슷한 차만 보면 달려가는 내용이었는데 너무 슬프더라,유기견은 입양돼도 한동안은 후유증 때문에 적응하는 데 시간 좀 걸린다던데
1330,요즘은 코로나 때문에  가기 힘들어졌지만 코로나 없어지면 꼭 가보고 싶어,코로나 없어지면 제일 먼저  이집트부터 갈 거야? 키키
1332,너는 계획 있어?,이집트는 자유 여행으로 하기 좀 힘들어?
1343,퇴근할 때 집 도착하면 너무 더워서 힘들더라,맞아! 너희 집 에어컨 휴대폰으로 연동해서 에어컨 켤 수 있어?
1396,혹시 좋아하는 몸보신 음식 있어?,음 보통 힘들다고 하면 삼겹살이나 고기를 좀 구워 먹어 키키
1497,저는 군 생활 내내 편하게 지내다 와서 군대 얘기하면 별로 할 얘기가 없어요.,저도 몸이 엄청 힘들지는 않았는데 너무 일을 많이 해서 디스크가 생겼어요.
1535,제 친구 중에 파충류 키우고 싶다고 맨날 이구아나랑 도마뱀 사진 보내던 놈 있었는데 지금은 키우고 있는지 모르겠네요.,파충류 같은 친구들은 온도도 조절해야 하고 굉장히 키우기 힘들 것 같아요.
1542,푸르른 나뭇잎과 드넓은 경치,"오르고 내려올 때 너무 힘들어서 좋아하지 않아요,"
1558,나이 먹으니까 게임하는 데도 체력 많이 필요하더라고요. 옛날처럼 못할 거 같아요 이젠,맞아요 저도 학생 때는 12시간씩도 앉아있었는데 힘들더라고요.1 : 해외 여행 가 보신 적 있으세요?
1569,근데 제가 또 추위를 많이 타서 겨울도 힘들어서 빨리 계약이나 끝났으면 좋겠어요.,저도 추위를 많이 타긴 하지만 요즘 날씨는 정말 이상해요.
1591,이번에 겨울까지 코로나 확산 이어지면 또 새로운 변이 생길 수 있다고 하더라고요.,지금 변이도 해결 못 하는데 또 얼마나 더 괴롭힐까요?
1596,네. 흡입한 곳에 피멍 들고 계속 압박 붕대로 감싸고 있더라고요. 회복될 때까지,"굉장히 고통스러울 거 같아요,"
1730,지금은 일반 2벌식 키보드를 쓰기가 힘들어서 아직 못 딸 거 같아요...,저도 2벌식 키보드 다 까먹어서 워드 시험은 어떻게 할지 모르겠어요.1 : 쌤 형제 자매 안 갖고 싶으세요?
1731,지금은 일반 2벌식 키보드를 쓰기가 힘들어서 아직 못 딸 거 같아요...,저는 형제 자매는 별로 생각해 본 적 없어요.
1732,지금은 일반 2벌식 키보드를 쓰기가 힘들어서 아직 못 딸 거 같아요...,저는 외동이 더 좋아서 하하 쌤은요?
1733,지금은 일반 2벌식 키보드를 쓰기가 힘들어서 아직 못 딸 거 같아요...,외동이고 싶다는 생각하신 적 없어요?
1738,요즘은 근데 40대에도 낳긴 하더라만...,40대에도 낳을 수 있긴 있는데 그러면 제 몸이 힘들어지니까요. 하하
1770,근데 그걸로 감당 안 되던데요... 그냥 걔도 감상용으로 키웠어요. 비파...,그렇군요. 저는 너무 관리가 힘들어서 걔네 키울까 생각했었는데 뭔가 또 새로운 일을 만들지 않을까 싶어서 포기했었죠. 하하
1796,예전에 수행평가도 겨우 겨우 하면서 사회 나가면 이런 거 할 일 없다고 속으로 생각했는데 스스로 그걸 하는 사람이 여기 있네... 키키,하지만 저는 그렇게 되기까지 엄청난 시련과 고통을 겪어야 했죠. 키키1 : 쌤 롤은 안 하시죠?
1833,현지인 집에 가서 사는 거 구경도 하고 싶어요!,일본인들 목욕하는 거 진짜 좋아한다고 하더라고요.1 : 일본은 여름에 너무 습해서 힘들었는데 이제 한국도 거의 비슷한 기분이에요...
1864,지금도 꾸준히 중증 환자가 나오는 거 보면 또 건강한 사람 입장만 생각하는 거 아닌가 싶기도 하고...,현장에서 일하시는 관계자들이 진짜 힘들겠다는 생각이 들더라고요.
1904,원래 지성이 잘 안 늙으니까 그냥 이대로 살다가 순리대로 가죠 뭐... 크크크,그래서 좀 슬프긴 한데 이게 가슴 위쪽으로 생기는 거라고 하더라고요.
1953,근데 좀비 나오는 거랑 막 추격전 같은 거 말고는 대충 다 보긴 해요.,저는 공포는 보기 힘들어요. 근데 장화홍련은 보고 싶다는 생각은 했어요.
1988,근데 엘리베이터 하나밖에 없으면 빨리 나갈 때 힘들 거 같아서 그때는 좀 낮은 층이 나을 거 같아!,지금은 사는 집에 엘리베이터 여러 대야?
2007,맞아 서울은 차 너무 많아서 너무 막혀서 갖고 다니기 힘들 거 같아.,맞아 그리고 길도 복잡해서 자신도 없어 하하
2008,맞아 서울은 차 너무 많아서 너무 막혀서 갖고 다니기 힘들 거 같아.,초보 운전은 그냥 시골 길만 다닐래.
2011,그리고 운전자들이 상대 보고 여자면 더 뭐라 잘 한다 그래서 안에 잘 안 보이게 하고 다닐 거 같아.,서서 하는 거 하지 정맥류 때문에 난 이제 너무 힘들어서 못하겠어 ㅠㅠ
2012,맞아 나도 서서 하는 거 싫어 너무 힘들어.,근데 이때까지는 거의 서서 일했던 것 같아 키키
2016,그래서 지금 앉아서 일하는 거 너무 좋아!,만족해서 일은 힘들지는 않아?
2024,그거 보니까 진짜 힘들겠더라 ㅜㅜ,맞아 그것도 그런데 거기 근데 진짜 웃긴 거 많이 나왔었는데 키키
2025,그거 보니까 진짜 힘들겠더라 ㅜㅜ,헨리랑 샘해밍턴 나온 편 봤었어?
2058,언니는 같이 다녔어?,그래서 괴롭히는 애들 있으면 장난으로 가서 이르고 그랬던 기억 나 키키
2062,맞아 나도 그렇게 생각해,응응 너도 그렇게 생각하는구나!1 : 아기 보는 건 정말 힘들 거 같아
2066,육아가 진짜 육체 노동이라 그러잖아 ㅜㅜ,친구 너무 힘들어 보여서 마음 아팠어
2209,언니 중고차 샀었어? 왜?,그 호주에서는 차 없으면 다니기가 힘들었었거든 그래서 거기서 처음 거래도 해보고 운전도 해봤어
2254,우리 다음 번에 먹을 게 아주 많아. 일단 막걸리에 파전.,나 지금 감자가 몸에 부족해서 힘들어 나 감자 엄청 좋아해서 키키
2289,나도 ㅠㅠ 퇴근하고 동료들이랑 시원하게 소맥 한잔 못한다니 정말 슬퍼.,여러 동료랑 얘기도 나누고 싶은데 이게 이렇게 힘들다고 진짜!? 않
2294,응응. 나는 수다쟁이이기 때문에 사실 점심시간도 너무 부족하고 아쉬워. 언니도지? 다 알아.,나 얘기를 하도 많이 해서 목이 쉬는 스타일인데 일하면서는 얘기 잘 못해서 지금 많이 힘들어.
2298,그것보다 일찍은... 힘들어 ㅎ...,엄청 오래 걸리네 회사까지 ㅜㅜ
2299,그것보다 일찍은... 힘들어 ㅎ...,나는 그래도 가까운 편이라서... 그러면 아침에 주로 지하철로 서서 오겠네?
2333,"내 나이보다 어린 선생님들 정말 힘들겠어, 지금 생각해 보면...",그니까 그때 말을 잘 들었어야 했는데
2334,"내 나이보다 어린 선생님들 정말 힘들겠어, 지금 생각해 보면...",지금 생각해보면 조금 사춘기랍시고 말 안 들어서 죄송하당...1 : 언니는 가족이 몇 명이야?
2335,"내 나이보다 어린 선생님들 정말 힘들겠어, 지금 생각해 보면...",나는 4명이야! 너는?
2351,몇 번 받을 뻔했는데 아무래도 부담스러워서 거절했어...,근데 주위에 보니까 이제 애들이 자연스런 만남 힘들다고 다 소개팅하던데 나는 모르는 사람이랑 그렇게 만나는 거 너무 어색하고 생각만 해도 힘들어
2391,4년 전에 한라산 갔었는데 너무 힘들어서 다시는 가고 싶지 않아!,그니까 등산은 너무 힘들어 개인적으로...
2392,4년 전에 한라산 갔었는데 너무 힘들어서 다시는 가고 싶지 않아!,그냥 동네 뒷산 이 정도서부터 시작해야 되는데...
2393,4년 전에 한라산 갔었는데 너무 힘들어서 다시는 가고 싶지 않아!,근데 너무 갑자기 한라산인데?
2449,백신 맞으면 다음 날까지 쉬고 싶다. ㅠㅠ 그치?,응! 그거 맞았는데 그 다음날 아프고 출근해야 되는 거면 너무 힘들 거 같아...
2594,나중에 하게 되면 인테리어 업체에 맡겨야지~,집도 잘 장만해서 꼭 원하는 인테리어로 하길 바랄게!1 : 요즘 너무 더워서 대중교통으로 출퇴근하기 힘들다 그치?
2617,응 나는 자주 하기도 하고 하게 되면 술도 많이 먹이고 이래서 좀 힘들었어 ㅠㅠ 업무의 연장선.,그럼 너무 싫지 그냥 회사는 정해진 근무 시간만 있었으면 좋겠어.
2618,응 나는 자주 하기도 하고 하게 되면 술도 많이 먹이고 이래서 좀 힘들었어 ㅠㅠ 업무의 연장선.,업무도 많이 빡세지 않았어?
2619,일은 안 힘들고 돈은 많이 주는 회사가 있으면 좋겠다~,친구야 이제 알 때도 됐잖아?
2620,일은 안 힘들고 돈은 많이 주는 회사가 있으면 좋겠다~,그런 회사는 이 세상에 존재하지 않아 ^^
2621,일은 안 힘들고 돈은 많이 주는 회사가 있으면 좋겠다~,직장에서 사람 때문에 힘든 적은 없어?
2622,진짜 일보다도 사람 때문에 힘들면 답 없는 거 같음 ㅠㅠ,그치 거의 대부분이 사람 때문에 힘들걸.
2623,진짜 일보다도 사람 때문에 힘들면 답 없는 거 같음 ㅠㅠ,나도 그랬고 그렇게 안 맞는 사람들하고 회의하기도 너무 싫어.
2630,그치 그래도 협상이라고 해서 계속 조금씩 올려주면 기분은 좋을 거 같긴 해 !,월급쟁이는 참 힘들어... ^^1 : 강철부대라는 프로그램 본 적 있어?
2641,괴로워서 해보고 싶다는 건 좀,고통을 이겨내면 사람이 성장하잖아 ^^
2700,그리고 나중에 아프고 이런 것도 마음 아프고 ㅠㅠ,그건 그렇지만 키우면서 행복이 훨씬 클 텐데?
2701,그리고 나중에 아프고 이런 것도 마음 아프고 ㅠㅠ,나는 집에 사람도 많이 없고 애가 혼자 있을 게 뻔해서 못 키우고 있어.
2912,이제 정말 내 집 마련의 꿈이 사라진 거 같아 무섭네요.,너무 복잡하고 매일 매일 정책이 바뀌고 일반 사람들은 세금 이런 문제도 많아지고 머리가 아프네요 ㅠ
2936,바르는데 힘들지 않오?,이사 준비가 그거 때메 진짜 오래 걸렸지
2949,그거 캐스퍼 좋은 이유가 뭐야?,너가 제일 힘들어하는 주차가 일단 쉬워
2952,어땠어 키키,힘들어 보이더라
2958,추억이야 이제,경호 힘들던 계기로 너가 말을 잘하는구나
2990,울 엄마 아빠는 팔도 조금만 아프다 했어!,다행이시다
2991,울 엄마 아빠는 팔도 조금만 아프다 했어!,2차도 부작용 없으면 좋겠다1 : 결혼 언제 하 꺼야
2992,울 엄마 아빠는 팔도 조금만 아프다 했어!,누가 있어야 하지
2993,울 엄마 아빠는 팔도 조금만 아프다 했어!,혼자 하냐
3139,갈아 타는게 두 번이라 그게 힘들어 ㅜㅜ,아 그전회사는 버스타구 슝 갔지?1 : 집은 완전 역세권이라 다행이야
3140,갈아 타는게 두 번이라 그게 힘들어 ㅜㅜ,전철역이랑 얼마나 가깝지?
3168,그렇지 근데 퇴학 당하면 다시 학교 다니기 힘들어서 부모님 모시고 와서 차라리 자퇴를 요구하지,와 진짜 무섭다
3179,언니 헤어졌다구 언니 슬프니까 할부지 참아주세요~ 라고,너 되게 좋은 동생이구나^^1 : 결혼식은 어디서 하고 싶어?
3180,언니 헤어졌다구 언니 슬프니까 할부지 참아주세요~ 라고,난 원주가 낫겠지?
3184,그건 좋다 서로 해주자,그래 가방순이는 제일 힘들다던데 해봤어?
3190,아 어항 관리하기 진짜 힘들다던뎅,긍까 막내이모도 힘들어하더라
3294,혼자 하기 안 힘들었어?,힘들어 죽는줄 알았어...넌 절대 혼자 하지마
3302,집에 시계는 몇개야?,근데 애가 좀 아프더라
3409,백신 개발국에서 그런 일이 생긴다는게 너무... 마음 아프다,아 러시아에서 개발했어 백신을?
3465,단독주택은 청소하기 너무 힘들지?,2층까지 청소해야 하다 보니 청소하면 하루가 다 지나가
3470,이사도 다 돈이라더라 ㅜㅜ,체력적으로도 힘들어
3528,키키 씻길 때도 힘들지 않엉?,응 그래서 엄마 아빠가 케어해 키키
3529,힘드시긴 하겠당,그렇지 관리가 힘들더랑
3544,난 그 슈퍼 점프인가 그거 좋아했는뎅,그거 타이밍 맞추기 힘들던데 키키
3599,약도 되게 많이 먹는다,근데 꾸준히 챙겨 먹기가 힘들어 넌?
3685,그러니까 언니 동생은 태어날 때부터 그랬던게 아니라서 맛을 이미 알아버린 상태여서...,그걸 많이 힘들어 했지
3686,음식 통제하는 가족들도 힘들었겠다,엄마 아빠가 처음에 많이 힘들어 했지
3753,이건 다른 얘기지만 스포츠 선수들도 악플로 많이 힘들어 한다는데,스포츠도 기사 댓글 닫으면 좋겠다1 : 러시아 뉴스 봤어?
3754,이건 다른 얘기지만 스포츠 선수들도 악플로 많이 힘들어 한다는데,아니 잘 안봐
3755,이건 다른 얘기지만 스포츠 선수들도 악플로 많이 힘들어 한다는데,어떤 거 있어?
3820,전세 구할 때 안 힘들었어?,ㅠㅠ 내가 원하는 가격대에서는 찾기 힘들었어
3926,응응 대신 줄서는건 힘들어 ㅜㅜ,나도 30분 정도는 참겠는데 그 이상은 좀 ㅠㅠ
4124,우리 아빠는 친구 분들이랑 패키지로 중국 다녀오셨는데 만족 하시더라구!,근데 요즘엔 코로나 때문에 여행사도 힘들겠다
4174,죠아 현명해 이쁘게 나오길~,나 머리숱도 많아서 혼자는 힘들어 ㅠㅠ1 : 최근에 입원한 적 있어?
4228,그게 제일 힘들지...,그거 잘하면 사실 요리사~1 : 나도 빨리 자취하고 싶다
4229,그게 제일 힘들지...,언제 나오려고 생각 중이야?
4257,경호는 너무 좋고 일 재밌는데 내 삶을 다시 바꾸기가 힘들 듯...,한 달에 막 두 번 쉬었다며1 : 어제 언니 친구 만나러 수원 갔었나?
4258,경호는 너무 좋고 일 재밌는데 내 삶을 다시 바꾸기가 힘들 듯...,육군 친구 있어서 보러 갔다 왔어
4294,항상 생활 패턴이 안 맞아서 많이 힘들었지,진짜 중요하긴 해 패턴1 : 이구아나 키워보고 싶어
4295,항상 생활 패턴이 안 맞아서 많이 힘들었지,너 실제로 보긴 했어?
4364,그거 진짜 아프다던데...,주위에 한 사람 있어?
4367,진짜 아프다고 절대 추천 안 하더라,넌 성형하고 싶은 곳 있어?
4376,잘못 만져놔서 병원 바로 갔어야 했는데...,발톱 아프지 않아?
4379,그래서 엄마와 의사쌤한테 혼나쪙,아프면 바로 가야지 ㅜ
4380,나 고통을 잘 못 느끼는 듯...,어...? 장점인 거야...?
4381,나 고통을 잘 못 느끼는 듯...,좋은 건가
4428,와우 혼자 한 거야?,응 셀프로 하느라 힘들었어 너무 ㅠㅠ
4527,그래서 손바닥도 종치다가 아프잖아 키키,손이 다 부숴지겠다
4529,예전에 ABC게임 생각난다,그거도 손바닥 오지게 아프지...
4557,그 전부터 생지 주문 자체가 힘들었나 봐,생지가 그 공장에서 들어오는 빵?
4558,주문이 힘들어서 사장님들이 직접 구했대,와 그럼 어케 그걸 계속해...
4579,고통 수준이 장난 아냐,헐 그 정도야?
4580,고통 수준이 장난 아냐,얼마나 아프길래
4747,요즘 인건비가 비싸서 다 키오스크더라,근데 부모님 세대는 힘들어 하시더라
4748,키오스크 사용이 힘들어서 주문 못하시고 집에 돌아가시는 분들도 많대,할머니 할아버지 분들은 오죽하실까 ㅠㅠ
4820,사실 남이 해주는 음식은 다 맛있징?,요리가 제일 힘들지1 : 우리 집 이사 온 지 얼마나 됐지?
4825,와 직접 다 돌아다니면 넘 힘들었겠당 ㅜㅜ,지금처럼 어플로 방 볼 거라곤 생각 못했지
4849,내가 듣기론 화생방 훈련을 못한다고 들었어,그거 제일 힘들다는 거 아니야?
4852,그렇대 조심해야 하고 다들 힘들어 한대,그건 하고 나면 혼이 빠지겠다1 : 엄마 세무는 언제 땄지?
4853,그렇대 조심해야 하고 다들 힘들어 한대,4년 정도 된 것 같은데
4879,다 왜 다른 집으로 간 거야?,할머니 할아버지 농사도 힘들어 하셔서 지인 분 집에 보냈대
4989,되기가 그것도 힘들겠다...,맞아 집 구하기가 참 많이 힘들지1 : 전철 갈아타는 거 안 불편해?
4990,되기가 그것도 힘들겠다...,버스보다 전철이 나은 것 같아
4991,버스는 왜 잘 안타?,많이 흔들려서 내릴 때 너무 힘들어
5012,아이 그람 매주 나와서 내가 군인 맞냐고 물어볼 정도,자주 나오다가 못 나와서 더 힘들겠다
5013,그렇지 술도 친구도 좋아하는 애라 더 힘들어해,그 친구 부대 가봤어?
5034,근데 난 멀리서는 안 하고 싶어,결혼식 당일에 준비하는 게 은근 많아서 멀면 힘들긴 할 거야
5045,어릴 때부터 내가 날 키우기 힘들었나...,학교 앞에서 파는 병아리는 잠깐 키웠었어
5105,그치 나도 3일까지 해봤는데 힘들어,작심삼일이였구나
5106,그치 나도 3일까지 해봤는데 힘들어,피부관리가 어렵지
5146,그럼 떡볶이 좋아해?,떡볶이 매워서 힘들어
5181,체험이었는데도 되게 힘들었던 게 아직도 생각나 ...,다시 가보고 싶은 생각은 없어?
5205,평생 남는 사진에 마스크가 같이 남는다고 하니 마음이 아프다,축가를 신랑분이 불러 주신대
5284,응응 근데 생각해보니까 숙소에서 받기가 힘들더라고 ㅜㅜ,과일도 쿠팡에서 시켰었지?
5383,테니스 해본 적 있어?,아니 난 해본 적 없는데 많이 힘들어 보이더라
5432,아프가니스탄에서 요즘 빚을 갚지 못한다는 거 봤어?,응 엄청난 생활고에 시달리고 있다던대...
5434,흑 ... 그리고 집안일을 하고 조금 크면 강제 결혼해야 한대 ...,어머나... 너무 마음 아프다ㅜ
5435,흑 ... 그리고 집안일을 하고 조금 크면 강제 결혼해야 한대 ...,얼마나 힘들까
5729,아파트에 살다가 적응되면 주택 살기 힘들다고 하더랑,할머니 집 청소하시다 보면 하루가 끝나신다잖아
5752,요즘은 다 못 나와서 더 마음 아프시겠다 ㅜㅜ,통화 자주 하는 아들 자랑하기도 해
5755,이제는 내 몸 하나 지키기도 힘들어 키키 메롱,지금 입대해서 전역하면 딸 30대 아니야?
5863,어머 긍정적이시네요 어머니,그러면 들 아프지 않겠니?1 : 브랜디에서 포인트를 왕창 줬어!
5897,내일도 오늘처럼 두 잔 마실 거야?,난 목요일을 제일 힘들어해서
5945,내년엔 2급 붙고 싶어,그거 준비하면서 어떤데 제일 힘들었어?
5946,나와의 싸움이 제일 힘들었어ㅜㅜ,아하 그 시험 방법 궁금하다 알려줘!
5959,우와 어머니가 카페 일하시기 힘드실 텐데,힘들다고 하는데 나름 재밌으신가 봐 키키
6029,감격스러우시대,정말 소상공인들 다 많이 힘들었을 거야 ㅜ
6030,코로나가 참 사람들을 너무 힘들게 해,그러니까...
6031,코로나가 참 사람들을 너무 힘들게 해,수도권도 빨리 풀려서 다 같이 행복해졌으면 좋겠다
6115,예전 주택엔 엘레베이터가 없었구나?,응응 높게 살진 않았지만 계단이 힘들었어
6171,다시 왜 안 키워?,생각보다 관리가 너무 힘들더라
6182,넌 내가 아프다고 하면 말 들어줄 거야?,아니? 그건 다 뻥이야
6302,"나는 여기 서울이니까 지하철 타지,",아 지하철이 편하긴 하겠따1 : 너 지금 다니는 회사는 안 힘들어?
6303,"나는 여기 서울이니까 지하철 타지,",웅 조금 상사 때문에 힘들어도 괜찮아
6304,"헐, 상사가 왜,? 괴롭혀?",상사가 너무 짓을 많이 해서
6305,헐 키키 근데 자기는 인 줄 모른다?,아 진짜 모르는 듯 힘들다
6363,아 맞아 키키 그거 은근 중심 잡기가 힘들다던데?,그래도 나는 한 번에 탔어
6424,키키 뭐 요즘에는 남자도 화장하는 시대잖아~,그치 이해해주자 남자인 나는 이해 못하겠지만 하하1 : 나 아까부터 머리가 왜 이렇게 아프지?
6514,생각이 잘 안 나는 거 보니...,그렇지 과목만 생각나는구나1 : 할머니 아프신 건 좀 괜찮으시대?
6518,오마이갓 안돼 손이 몸이 중요한데 ㅠㅠ,확고하셔서 말씀드리기가 힘들어
6592,진짜...아프대 머리가 진짜 아프대,마취는 안 하는 거니?
